,지번주소,위도,경도
0,부산시 사하구 다대동 1552-16,35.0484527,128.9658745
1,부산시 사하구 다대동 63-13,35.0651368,128.9798999
2,부산시 사하구 다대동 909,35.0572228,128.9712758
3,부산시 사하구 장림동 185-9,35.0815558,128.9779528
4,부산시 사하구 장림동 380,35.0744421,128.9769803
5,부산광역시 금정구 구서동 262,35.2545912,129.0903115
6,부산광역시 금정구 구서동 475,35.2450846,129.090869
7,부산광역시 금정구 남산동 136-1,35.2656436,129.0908813
8,부산광역시 금정구 노포동 133,35.2839144,129.0964874
9,부산광역시 금정구 장전동 242,35.2408936,129.0884078
10,부산광역시 금정구 장전동 427,35.2326852,129.0892105
11,부산광역시 금정구 청룡동 47,35.2726952,129.0926651
12,부산광역시 동구 범일동 949,35.1394694,129.0594213
13,부산광역시 동구 좌천동 236,35.1342744,129.054318
14,부산광역시 동구 초량동 1170,35.1236411,129.0451381
15,부산광역시 동구 초량동 1170,35.1236411,129.0451381
16,부산광역시 동구 초량동 1206-1,35.1145521,129.0392244
17,부산광역시 동래구 온천동 1750-1,35.2138753,129.0813222
18,부산광역시 동래구 온천동 489-4,35.2120408,129.0796654
19,부산광역시 동래구 온천동 527,35.2039278,129.0783637
20,부산광역시 부산진구 범천동 948-4,35.1485188,129.0598705
21,부산광역시 부산진구 부전동 573-1,35.1581475,129.0598539
22,부산광역시 부산진구 부전동 573-1,35.1581475,129.0598539
23,부산광역시 부산진구 양정동 408,35.1717955,129.0703137
24,부산광역시 사하구 괴정동 317-1,35.1031457,128.999766
25,부산광역시 사하구 괴정동 661,35.0990578,128.9836549
26,부산광역시 사하구 괴정동 934-3,35.0997342,128.9919047
27,부산광역시 사하구 당리동 323,35.1023992,128.9764614
28,부산광역시 사하구 신평동 646,35.0936576,128.9611269
29,부산광역시 사하구 하단동 491,35.1082275,128.9654993
30,부산광역시 서구 동대신동2가 428-9,35.11025,129.018005
31,부산광역시 서구 서대신동2가 338,35.1109394,129.0120194
32,부산광역시 서구 토성동3가 11-3,35.1008807,129.0198838
33,부산광역시 연제구 거제동 72-25,35.1958203,129.0799954
34,부산광역시 연제구 연산동 1328-9,35.1809617,129.0776786
35,부산광역시 연제구 연산동 1515-1,35.1891281,129.0808535
36,부산광역시 중구 남포동1가 11,35.0978841,129.034585
37,부산광역시 중구 남포동6가 117-1,35.097255,129.0268705
38,부산광역시 중구 중앙동4가 26-3,35.1047677,129.0364371
39,부산시 사하구 신평동 544-2,35.0901302,128.9740842
40,경상남도 양산시 동면 가산리 산 91-5,35.27989609999999,129.0181251
41,경상남도 양산시 동면 석산리 1265-1,35.3253971,129.0197871
42,경상남도 양산시 물금읍 범어리 2635,35.3310231,129.0086844
43,경상남도 양산시 물금읍 증산리 35-6,35.3063672,129.0116194
44,경상남도 양산시 중부동 475-1,35.3394809,129.0336203
45,부산광역시 남구 대연동 1756-27,35.1344718,129.0903736
46,부산광역시 남구 대연동 1756-27,35.1344718,129.0903736
47,부산광역시 남구 대연동 77,35.1372881,129.1016467
48,부산광역시 남구 문현동 254-2,35.1353005,129.0749274
49,부산광역시 남구 문현동 651-1,35.1394363,129.0673345
