,지번주소,위도,경도
0,서울특별시 중구 남대문로5가 73-6,37.5569016,126.9725598
1,서울특별시 중구 정동 5-5,37.5656072,126.9769446
2,서울특별시 종로구 종로1가 54,37.5702322,126.9814161
3,서울특별시 종로구 종로3가 10-5,37.5704474,126.990896
4,서울특별시 종로구 종로5가 82-1,37.571031,127.0019512
5,서울특별시 종로구 창신동 492-1,37.5717666,127.0112574
6,서울특별시 동대문구 신설동 76-5,37.5764583,127.0259609
7,서울특별시 동대문구 제기동 65,37.5785639,127.0388686
8,서울특별시 동대문구 전농동 620-69,37.5798174,127.0460265
9,서울특별시 종로구 숭인동 117,37.5735962,127.0171394
10,서울특별시 중구 서소문동 90-1,37.5635692,126.9755275
11,서울특별시 중구 을지로1가 100-1,37.5660583,126.9820842
12,서울특별시 중구 을지로3가 347-3,37.5662094,126.9902284
13,서울특별시 중구 을지로4가 267-1,37.5665287,126.9965431
14,서울특별시 중구 을지로 7가 112-3,37.56577430000001,127.0085617
15,서울특별시 중구 신당동 99,37.5654324,127.020067
16,서울특별시 성동구 하왕십리동 946-14,37.5639729,127.0298084
17,서울특별시 성동구 행당동 192,37.56169149999999,127.0363006
18,서울특별시 성동구 행당동 산17,37.5539567,127.0458359
19,서울특별시 성동구 성수동1가 656-745,37.5455602,127.046656
20,서울특별시 성동구 성수동2가 300-1,37.5446813,127.0569827
21,서울특별시 광진구 화양동 7-3 2호선,37.54081559999999,127.0690315
22,서울특별시 광진구 구의동 245-24,37.5380692,127.0890292
23,서울특별시 광진구 구의동 546-6,37.5353816,127.0945451
24,서울특별시 송파구 신천동 15,37.5189313,127.104757
25,서울특별시 송파구 신천동 8,37.5140623,127.1020525
26,서울특별시 송파구 잠실동 33,37.5115488,127.0891943
27,서울특별시 송파구 잠실동 122,37.5111071,127.0742895
28,서울특별시 강남구 삼성동 172-66,37.5074089,127.0580262
29,서울특별시 강남구 삼성동 172-66,37.5074089,127.0580262
30,서울특별시 강남구 역삼동 804,37.501249,127.0383318
31,서울특별시 강남구 역삼동 858,37.4970559,127.0281806
32,서울특별시 서초구 서초동 1748-4,37.4948744,127.017338
33,서울특별시 서초구 서초동 1748-5,37.49279720000001,127.0105772
34,서울특별시 서초구 방배동 912-14,37.4812798,126.9970265
35,서울특별시 동작구 사당동 1129,37.4764276,126.9763658
36,서울특별시 관악구 봉천동 1693-39,37.4763633,126.965696
37,서울특별시 관악구 봉천동 979-2,37.4812428,126.9516165
38,서울툭별시 관악구 봉천동 979-7,37.48228950000001,126.9428361
39,서울특별시 관악구 신림동 1467-10,37.4843296,126.9289318
40,서울특별시 동작구 신대방동 643-1,37.487549,126.9129603
41,서울특별시 구로구 구로동 810-3,37.485363,126.9010775
42,서울특별시 구로구 구로동 1204,37.4934315,126.8947998
43,서울특별시 구로구 신도림동 460-26,37.5087378,126.891109
44,서울특별시 영등포구 문래동3가 68-1,37.5182708,126.8945803
45,서울특별시 영등포구 당산동3가 270-1,37.5253665,126.8968631
46,서울특별시 영등포구 당산동 6가 323-1,37.5352128,126.9026157
47,서울특별시 마포구 서교동 393,37.5508223,126.9150691
48,서울특별시 마포구 동교동 165,37.5563994,126.9238793
49,서울특별시 마포구 노고산동 31-11,37.5546725,126.9375613
50,서울특별시 마포구 염리동 8-85,37.5568514,126.9477302
51,서울특별시 마포구 아현동 354-23,37.5567025,126.9548147
52,서울특별시 서대문구 충정로3가 319-1,37.5595485,126.963876
53,서울특별시 성동구 용답동 127,37.5669045,127.0496653
54,서울특별시 성동구 용답동 129-2,37.5706952,127.0454382
55,서울특별시 동대문구 신설동 76-5,37.5764583,127.0259609
56,서울특별시 구로구 신도림동 323-16,37.5142835,126.8829718
57,서울특별시 양천구 신정동 276-7,37.5125613,126.8657426
58,서울특별시 양천구 신정동 1231,37.5183294,126.8536292
59,서울특별시 동대문구 용두동 47-1,37.5754387,127.0384023
60,경기도 고양시 덕양구 지축동 818-64,37.6487922,126.911372
61,서울특별시 은평구 진관동 67-26,37.6375796,126.9185478
62,서울특별시 은평구 갈현동 397,37.6189322,126.9208532
63,서울특별시 은평구 대조동 13-10,37.6103451,126.9299074
64,서울특별시 은평구 녹번동 55,37.60107,126.9357561
65,서울특별시 서대문구 홍제동 161-1,37.587691,126.9453229
66,서울특별시 서대문구 홍제동 26-1,37.5824225,126.9505664
67,서울특별시 서대문구 현저동 101,37.5742169,126.9561692
68,서울특별시 종로구 적선동 81-1,37.5757599,126.9732064
69,서울특별시 종로구 안국동 73-1,37.5769513,126.9845219
70,서울특별시 종로구 묘동 20-5,37.57147399999999,126.9918948
71,서울특별시 중구 을지로3가 282-8,37.5664076,126.9936319
72,서울특별시 중구 필동2가 16-2,37.5612094,126.9943298
73,서울특별시 중구 장충동2가 199-3,37.5592128,127.0051127
74,서울특별시 중구 신당동 369-44,37.5544473,127.0109908
75,서울특별시 성동구 금호동4가 1470,37.5481182,127.0158072
76,서울특별시 성동구 옥수동 168-1,37.5400509,127.0177866
77,서울특별시 강남구 신사동 668,37.5235424,127.028309
78,서울특별시 강남구 신사동 667,37.5196719,127.0187517
79,서울특별시 서초구 잠원동 100-1,37.5130688,127.0117584
80,서울특별시 서초구 반포동 19-11,37.5048493,127.0048756
81,서울특별시 서초구 서초동 1748-4,37.4948744,127.017338
82,서울특별시 서초구 서초동 1748-30,37.48664360000001,127.0153514
83,서울특별시 서초구 서초동 1366-9,37.4847785,127.0333843
84,서울특별시 강남구 도곡동 179-2,37.4869934,127.0466807
85,서울특별시 강남구 도곡동 339-2,37.490719,127.0549212
86,서울특별시 강남구 대치동 317-3,37.4945267,127.063259
87,서울특별시 강남구 대치동 514-3,37.4967333,127.0718403
88,서울특별시 강남구 일원동 700-9,37.4936578,127.0795603
89,서울특별시 강남구 일원동 717,37.4840007,127.0844516
90,서울특별시 강남구 수서동 728,37.4882573,127.1005798
91,서울특별시 송파구 가락동 184-23,37.4929144,127.1182155
92,서울특별시 송파구 가락동 10-15,37.49826669999999,127.1256378
93,서울특별시 송파구 오금동 44-2,37.503412,127.1261676
94,서울특별시 노원구 상계동 111,37.670607,127.0793321
95,서울특별시 노원구 상계동 156-203,37.6610573,127.0736304
96,서울특별시 노원구 상계동 602-5,37.6561147,127.0623967
97,서울특별시 도봉구 창동 135-1,37.6533776,127.0476817
98,서울특별시 도봉구 창동 703-4,37.6490571,127.0350866
99,서울특별시 강북구 수유동 140,37.6402884,127.0242053
100,서울특별시 강북구 미아동 194-1,37.6294541,127.0247467
101,서울특별시 강북구 미아동 66-1,37.61499269999999,127.0300333
102,서울특별시 성북구 길음동 877-66,37.6022737,127.0213558
103,서울특별시 성북구 동선동4가 1,37.5930982,127.016781
104,서울특별시 성북구 삼선동1가 14,37.5880735,127.00581
105,서울특별시 종로구 명륜4가 96-5,37.5821323,127.0018148
106,서울특별시 종로구 종로6가 287-1,37.5706271,127.0094409
107,서울특별시 중구 광희동2가 9,37.56469209999999,127.0073151
108,서울특별시 중구 필동2가 16-2,37.5612094,126.9943298
109,서울특별시 중구 충무로2가 109-2,37.5608395,126.9857354
110,서울특별시 중구 남창동 64-1,37.5588566,126.9776481
111,서울특별시 용산구 동자동 14-151 서울역,37.5531131,126.9728015
112,서울특별시 용산구 갈월동 16-7,37.5455647,126.97194
113,서울특별시 용산구 한강로1가 228-1,37.5346526,126.9732218
114,서울특별시 용산구 한강로2가 181,37.5292697,126.9680553
115,서울특별시 용산구 용산동5가 17-112,37.5219498,126.9753786
116,서울특별시 동작구 동작동 327-1,37.5028599,126.9799855
117,서울특별시 동작구 사당동 736-1,37.4880709,126.9822791
118,서울특별시 동작구 사당동 588-44,37.4769093,126.9816333
119,서울특별시 서초구 방배동 2909,37.4643771,126.9892778
120,서울특별시 강서구 방화동 829-15,37.5772589,126.8126686
121,서울특별시 강서구 방화동 846,37.5723147,126.8057586
122,서울특별시 강서구 방화동 886,37.5650592,126.8029919
123,서울특별시 강서구 공항동 29-5,37.5614789,126.810506
124,서울특별시 강서구 마곡동 769-3,37.5602625,126.8250576
125,서울특별시 강서구 마곡동 727-1496,37.5706297,126.8298909
126,서울특별시 강서구 화곡동 1089-3,37.549224,126.8364139
127,서울특별시 강서구 화곡동 1089-54,37.5412334,126.840796
128,서울특별시 강서구 화곡동 662-5,37.5325387,126.8462605
129,서울특별시 양천구 신정동 1090,37.5247294,126.8542868
130,서울특별시 양천구 목동 926-3,37.526005,126.8661584
131,서울특별시 양천구 목동 406-30,37.5246783,126.8740097
132,서울특별시 영등포구 양평동2가 33-79,37.5253177,126.8859538
133,서울특별시 영등포구 당산동3가 556-1,37.5244158,126.8943439
134,서울특별시 영등포구 영등포동5가 62-1,37.5222259,126.9056815
135,서울특별시 영등포구 영등포동1가 35,37.5177129,126.9145095
136,서울특별시 영등포구 여의도동 3,37.5232487,126.9269358
137,서울특별시 영등포구 여의도동 84-4,37.5281722,126.9325109
138,서울특별시 마포구 도화동 160,37.5389594,126.9491776
139,서울특별시 마포구 공덕동 423-29,37.544486,126.951195
140,서울특별시 마포구 아현동 612,37.5540433,126.9566119
141,서울특별시 서대문구 충정로3가 248-1,37.5607944,126.963313
142,서울특별시 종로구 평동 210,37.5661705,126.9668868
143,서울특별시 종로구 세종로 1-68 5호선,37.5724321,126.976902
144,서울특별시 종로구 돈의동 39-1 5호선,37.5725591,126.9903733
145,서울특별시 중구 주교동 191,37.5674502,126.9980307
146,서울특별시 중구 광희동1가 235-6,37.56464649999999,127.0055985
147,서울특별시 중구 신당동 295-2,37.5603474,127.0138712
148,서울특별시 성동구 금호동2가 223-1,37.554664,127.0197918
149,서울특별시 성동구 행당동 317-241,37.5567843,127.0283838
150,서울특별시 성동구 행당동 192,37.56169149999999,127.0363006
151,서울특별시 성동구 마장동 804,37.566982,127.0436607
